Tarih,Sıra,At İsmi,Yaş,Orijin,Sıklet,Jokey,Sahip,Antrenör,Derece,Ganyan,AGF,Start No,Fark,Geç Çıkış,HP,Yarış Tipi,Yaş Grubu,At Cinsi,Mesafe,Pist Tipi,Çim Durumu,Çim Değeri,Kum Durumu,Sıcaklık,Hava Durumu,Nem
05/04/2025,1,"BALKI TAY(6) KG
 DB",5y a a,ÖZGÜNHAN- ARCİVAN / ATAK,"57,5",M.M.BİLGİN,MURAT KAYA,Y.DEMİRKIRAN,2.17.50,"5,45",%14(4),7,Yarım Boy,,92,,4,Araplar,2000,Sentetik,,,Normal,,,
05/04/2025,2,"NİĞBOLU(3) KG
 DB
 SK
 GKR",9y k a,GOBAKBEY- AMANOS / HABERBATUR,"60,5",M.KAYA,CÜNEYT ÇALICIOĞLU,S.AYDOĞAN,2.17.63,"9,20",%11(5),4,1 Boy,,95,,4,Araplar,2000,Sentetik,,,Normal,,,
05/04/2025,3,"KURT ENGİN(4) KG
 SK",7y k a,BABA MEVLÜT- BLUE VELVET / DAYIBEY,"58,5",Ö.YILDIRIM,RECEP GÜLDOĞDU,E.USLU,2.17.83,"21,15",%6(9),3,1 Boy,,76,,4,Araplar,2000,Sentetik,,,Normal,,,
05/04/2025,4,"TORHAN TAY(11) KG
 K
 GKR",6y a a,TURBO- NECİBE / HİSARHAN,"56,5",A.YILDIZ,FERHAN GÖKTÜRK,H.BOYRAZ,2.17.98,"25,95",%4(10),10,Boyun,5 boy,81,,4,Araplar,2000,Sentetik,,,Normal,,,
05/04/2025,5,KARAKURT BEYİ(2),5y a a,TURBO- İLK KIZ / SEZGİNBEY,"60,5",VEDAT ABİŞ,A.SELÇUK LOKLAR,Ş.GÖKÇE,2.18.04,"15,45",%8(6),6,,,84,,4,Araplar,2000,Sentetik,,,Normal,,,
05/04/2025,6,"SANCAR(5) KG
 DB
 SK",8y k a,ALTAHA- RENGİN / HALİD,"58,5",A.ÇELİK,MURAT AKTAŞ,C.TURAN,2.18.39,"4,80",%15(2),2,,,99,,4,Araplar,2000,Sentetik,,,Normal,,,
05/04/2025,7,"ERSAVAŞ(9) KG
 DB
 SK",7y a a,UÇANOĞLU- DERİNCAN / ANADOLU ATEŞİ,"56,5",E.AKTUĞ,ELİF AKIN,A.KURT,2.20.56,"3,05",%15(1),8,,,90,,4,Araplar,2000,Sentetik,,,Normal,,,
05/04/2025,8,AĞA TURBO(1) KG,6y a a,TURBO- HÜRGÖNÜL / DEMİRKAZIK,"58,5",K.YILMAZ AP,TARKAN H. ONAR,HAL.YILDIZ,2.22.73,"10,25",%7(7),9,,,90,,4,Araplar,2000,Sentetik,,,Normal,,,
05/04/2025,9,"BÜYÜK MENDERES(7) KG
 DB
 SK",5y k a,GÜRSU- SİMAYCAN / CAŞ,"56,5+0.40",A.SÖZEN,MELİS KURTEL EMİN,H.YÜZBAŞI,2.23.19,"12,85",%6(8),11,,,84,,4,Araplar,2000,Sentetik,,,Normal,,,
05/04/2025,10,"ÖZÜDOĞRU(10) KG
 DB",8y a a,ATEŞTOPU- ANIKIZ / ANTEPLİ,"56,5+0.70",H.ÇİZİK,ALPAY DEMİREL,Y.GÜNDOĞDİ,2.23.80,"6,15",%14(3),5,,,98,,4,Araplar,2000,Sentetik,,,Normal,,,
