Tarih,Sıra,At İsmi,Yaş,Orijin,Sıklet,Jokey,Sahip,Antrenör,Derece,Ganyan,AGF,Start No,Fark,Geç Çıkış,HP,Yarış Tipi,Yaş Grubu,At Cinsi,Mesafe,Pist Tipi,Çim Durumu,Çim Değeri,Kum Durumu,Sıcaklık,Hava Durumu,Nem
26/03/2025,1,"KENT RÜZGARI(3) KG
 SK",4y a a,HABERKAN- ŞUBATINKIZI / ŞENTAY,58,F.YARDIMCI,MUSTAFA ŞEFKAT,M.ŞEFKAT,1.37.60,"2,15",-,6,12 Boy,,71,,4,Araplar,1400,Kum,,,Normal,,,
26/03/2025,2,HAMDİ AĞA(6),4y a a,ORÇUN- BENLİDİLBER / ÖZGÜNHAN,56+0.80,Y.CENGİZ,MEHMET S. MELİK,V.ÇİZİK,1.40.32,"54,30",-,2,"2,5 Boy",,32,,4,Araplar,1400,Kum,,,Normal,,,
26/03/2025,3,"DERBEDER ALİ(5) KG
 DB
 SK",4y a a,SERHANTAY- CANYELDA / YELHAN,55,N.ALTIN,İSMAİL GÜRLER,M.SUSEN,1.40.82,"14,70",-,4,6 Boy,,46,,4,Araplar,1400,Kum,,,Normal,,,
26/03/2025,4,"KAÇAR ÜLFET(4) DB
 SK",4y k k,SON MARTI- GÜLHAN ABLA / GOBAKBEY,56,M.E.DOĞAN,ÖMER YARDIMCI,EY.YARDIMCI,1.42.01,"10,10",-,7,12 Boy,,66,,4,Araplar,1400,Kum,,,Normal,,,
26/03/2025,5,"SANPMAN(1) KG
 SK",4y a a,ARTOS- TEK DİŞİ / GOBAKBEY,61,İ.AKYAVUZ,HALİL YILDIZ,E.ALTIN,1.44.78,"1,80",-,1,,,71,,4,Araplar,1400,Kum,,,Normal,,,
26/03/2025,6,GÖZEGER(7) DB,4y a k,KAFKASLIEFSANESİ- FİLFİL / KIRIMHAN,52+2.00,M.ALİ AKGÖBEK AP,SONGÜL NARİN,OSM.DEMİR,1.48.26,"68,40",-,5,,,40,,4,Araplar,1400,Kum,,,Normal,,,
26/03/2025,7,"EKO HAT(2) KG
 SK",4y k a,KARAKEMAL- HEYCAN BİR / SERDARHAN,57,B.SARIDAL AP,MUSTAFA ARSLAN,RE.ARSLAN,1.55.89,"7,65",-,3,,,67,,4,Araplar,1400,Kum,,,Normal,,,
19/03/2025,1,"KAÇAR ÜLFET(3) DB
 SK",4y k k,SON MARTI- GÜLHAN ABLA / GOBAKBEY,59,F.YARDIMCI,ÖMER YARDIMCI,EY.YARDIMCI,2.09.19,"2,95",%22(1),1,20 Boy,,61,,4,Araplar,1800,Kum,,,Normal,,,
19/03/2025,2,"DEMİROĞLUDOĞAN(8) KG
 K
 DB
 GKR",4y k a,DEMİRDÖVEN- TUMBUL ANZELHA / EMİROĞLU,55+0.60,İ.AKYAVUZ,LETİF DOĞAN,MEHM.KAYA,2.13.77,"6,85",%15(3),6,2 Boy,,35,,4,Araplar,1800,Kum,,,Normal,,,
19/03/2025,3,"BİR NİSAN(1) KG
 DB
 SK",4y k a,ŞİMŞEĞİNOĞLU- SELLUMA / EMİROĞLU,57,M.ALİ AKGÖBEK AP,MEHMET ŞENBAHAR,MUR.DOĞAN,2.14.21,"9,50",%9(6),7,4 Boy,,48,,4,Araplar,1800,Kum,,,Normal,,,
