Tarih,Sıra,At İsmi,Yaş,Orijin,Sıklet,Jokey,Sahip,Antrenör,Derece,Ganyan,AGF,Start No,Fark,Geç Çıkış,HP,Yarış Tipi,Yaş Grubu,At Cinsi,Mesafe,Pist Tipi,Çim Durumu,Çim Değeri,Kum Durumu,Sıcaklık,Hava Durumu,Nem
19/03/2025,1,"ŞAHTAYIM(3) KG
 DB
 SK",4y a a,ESKİŞEHİRLİ- MUCAN / CAŞ,"59,5",İ.AKYAVUZ,AZİZ BECENE,S.BECENE,2.38.13,"2,00",%23(1),2,3 Boy,,52,Handikap,4,Araplar,2100,Kum,,,Normal,,,
19/03/2025,2,"HÜRADAM(6) DB
 SK",11y k a,ALTAHA- ŞİFA / ALBATUR,61,F.YARDIMCI,ALİ ŞAHİN,İ.ATMACA,2.38.64,"9,65",%14(2),3,9 Boy,,49,Handikap,4,Araplar,2100,Kum,,,Normal,,,
19/03/2025,3,DOBAR(2) KG,7y a a,BAYHAN- DÜRDANE / ÖZGÜN,"60,5",A.ÇANKAYA AP,ÖMER POLAT,MUH.ARSLAN,2.40.69,"28,10",%3(10),11,"3,5 Boy",,52,Handikap,4,Araplar,2100,Kum,,,Normal,,,
19/03/2025,4,"LULU(13) SKG
 SK",5y a k,GELİBOLU- KİRAZKIZI / ŞÖVALYE,52+2.00,M.ALİ AKGÖBEK AP,N.CEHDİ ADVAN,MUR.DOĞAN,2.41.44,"10,75",%10(5),8,"2,5 Boy",,36,Handikap,4,Araplar,2100,Kum,,,Normal,,,
19/03/2025,5,"CALİBE YAVRUSU(7) KG
 DB
 SK",5y a k,ÖZGÜNHAN- CALİBE / SA'D.27,"58,5",B.SARIDAL AP,ADEM AMAÇ,Y.BAYSAL,2.41.89,"9,15",%11(4),5,,,48,Handikap,4,Araplar,2100,Kum,,,Normal,,,
19/03/2025,6,BUĞRAHAN(4),10y k a,ARASLI- NAZPERVER / SÜLO,60,A.H.BAYAR AP,HÜSEYİN ATAKAYA,H.ATAKAYA,2.42.58,"26,20",%3(9),6,,,51,Handikap,4,Araplar,2100,Kum,,,Normal,,,
19/03/2025,7,"KIRKÇERİ(5) KG
 K
 DB",6y d a,ULUER- KIRIMKIZ / ODİNHAN,"61,5",İ.KATAR,CELAL AKIL,H.ÇALI,2.43.70,"18,75",%2(11),1,,,50,Handikap,4,Araplar,2100,Kum,,,Normal,,,
19/03/2025,8,"ALINCAHAN(10) KG
 K",5y a a,AKARÇAY- İYİTAY / ATOMKARINCA,59,A.AKDEMİR,MUHAMMET FELHAN,A.AKBABA,2.48.06,"16,45",%6(7),13,,2 Boy,45,Handikap,4,Araplar,2100,Kum,,,Normal,,,
19/03/2025,9,"AKKOR ATEŞ(8) KG
 SK",5y a a,ATEŞTOPU- CANRÜBA / BERKOŞ,60,H.ALTUNDAĞ,BAKİ BAKIR BOYRAZ,N.CAMUZ,2.49.17,"16,75",%4(8),12,,,47,Handikap,4,Araplar,2100,Kum,,,Normal,,,
19/03/2025,10,"ÖZGÜN SAYFA(11) DB
 SKG
 SK",5y a k,ÖZGÜNHAN- BİR SAYFA / SİHİR,59+0.10,Y.CENGİZ,NÜSRET CANPOLAT,M.SUSEN,2.55.55,"35,80",%1(12),10,,,45,Handikap,4,Araplar,2100,Kum,,,Normal,,,
19/03/2025,11,"TİRYAKİ BEY(9) DB
 SK",5y k a,ŞİMŞEĞİNOĞLU- GÜNHAN / TATARCIK,"59,5",N.ALTIN,YAVUZ YILDIZ,BAR.BULUT,3.10.48,"11,45",%9(6),9,,,46,Handikap,4,Araplar,2100,Kum,,,Normal,,,
19/03/2025,12,"YILMABABA(1) KG
 SK",7y k a,ŞİMŞEĞİNOĞLU- GÖKSEL / SA'D.27,61,Y.ÇELİKBAŞ AP,FETHİ ÇİZİK,V.ÇİZİK,3.17.55,"5,65",%12(3),7,,,53,Handikap,4,Araplar,2100,Kum,,,Normal,,,
19/03/2025,,"RAŞİT AĞBİ(12) KG
 DB
 GKR
 (Koşmaz)",5y a a,BİTİRİMKARINCA- MİMOZA ÇİÇEĞİ / TURBO,56,B.BEKTAŞ,SUAT ÇİZİK,T.ÇİZİK,Koşmaz,,%1(13),4,,,39,Handikap,4,Araplar,2100,Kum,,,Normal,,,
03/03/2025,1,"YILMABABA(13) KG
 SK",7y k a,ŞİMŞEĞİNOĞLU- GÖKSEL / SA'D.27,"56,5+0.80",Y.ÇELİKBAŞ AP,FETHİ ÇİZİK,V.ÇİZİK,2.27.41,"4,95",%7(4),8,12 Boy,,46,Handikap,4,Araplar,2000,Kum,,,Normal,,,
03/03/2025,2,"ESAS TAY(10) KG
 DB",5y a a,GÜNTAY- PRENSES BAHAR / KAFKASLI,"59,5",N.DEMİR,SUAT ÇİZİK,T.ÇİZİK,2.29.98,"13,80",%4(6),5,3 Boy,,48,Handikap,4,Araplar,2000,Kum,,,Normal,,,
03/03/2025,3,"HÜRADAM(7) DB
 SK",11y k a,ALTAHA- ŞİFA / ALBATUR,60,İ.AKYAVUZ,ALİ ŞAHİN,İ.ATMACA,2.30.60,"8,75",%7(5),3,"4,5 Boy",,49,Handikap,4,Araplar,2000,Kum,,,Normal,,,
03/03/2025,4,"CALİBE YAVRUSU(9) KG
 DB
 SK",5y a k,ÖZGÜNHAN- CALİBE / SA'D.27,"59,5",İ.KATAR,ADEM AMAÇ,Y.BAYSAL,2.31.63,"6,15",%9(3),2,4 Boy,,48,Handikap,4,Araplar,2000,Kum,,,Normal,,,
03/03/2025,5,"TİRYAKİ BEY(12) DB
 SK",5y k a,ŞİMŞEĞİNOĞLU- GÜNHAN / TATARCIK,"58,5",S.KAPLAN,YAVUZ YILDIZ,BAR.BULUT,2.32.61,"2,65",%18(1),1,,,46,Handikap,4,Araplar,2000,Kum,,,Normal,,,
03/03/2025,6,"ALINCAHAN(11) KG
 K",5y a a,AKARÇAY- İYİTAY / ATOMKARINCA,59,A.AKDEMİR,MUHAMMET FELHAN,A.AKBABA,2.33.04,"23,70",%2(10),12,,,47,Handikap,4,Araplar,2000,Kum,,,Normal,,,
03/03/2025,7,"AKKOR ATEŞ(8) KG
 SK",5y a a,ATEŞTOPU- CANRÜBA / BERKOŞ,60,H.ALTUNDAĞ,BAKİ BAKIR BOYRAZ,N.CAMUZ,2.34.24,"16,80",%3(8),11,,,49,Handikap,4,Araplar,2000,Kum,,,Normal,,,
03/03/2025,8,"BERKAY FIRTINASI(4) KG
 K",6y k a,BERKAY EFE- SERENAT / BİLGİN,62,Y.CENGİZ,YAHYA İŞIK,H.SUNKAR,2.34.89,"25,95",%2(11),9,,,53,Handikap,4,Araplar,2000,Kum,,,Normal,,,
03/03/2025,9,DOBAR(1) KG,7y a a,BAYHAN- DÜRDANE / ÖZGÜN,61,M.IŞIK AP,ÖMER POLAT,S.POLAT,2.35.60,"25,95",%2(12),13,,2 Boy,55,Handikap,4,Araplar,2000,Kum,,,Normal,,,
