Tarih,Sıra,At İsmi,Yaş,Orijin,Sıklet,Jokey,Sahip,Antrenör,Derece,Ganyan,AGF,Start No,Fark,Geç Çıkış,HP,Yarış Tipi,Yaş Grubu,At Cinsi,Mesafe,Pist Tipi,Çim Durumu,Çim Değeri,Kum Durumu,Sıcaklık,Hava Durumu,Nem
28/12/2024,1,"DEBDEBE(2) DB
 SKG
 SK",3y k e,SON MARTI- ZAHİDE HATUN / GOBAKBEY,59,F.YARDIMCI,RESULCAN YARDIMCI,EKR.YARDIMCI,2.08.28,"1,80",%28(1),1,6 Boy,,52,Handikap,3,Araplar,1700,Kum,,,Normal,,,
28/12/2024,2,"FERHAT KARDEŞ(1) KG
 SK",3y k e,HABERKAN- GOBAKHALA / RİKARDO,"59,5",İ.KATAR,HAMZA CANLIKA,H.ATAKAYA,2.09.46,"2,75",%23(2),7,10 Boy,,53,Handikap,3,Araplar,1700,Kum,,,Normal,,,
28/12/2024,3,"KRALCEVHERİ(5) KG
 SK",3y a e,JOKER- HAZİRANKIZI / ATAK,50+2.00,M.ŞAKİR AP,İSMAİL SANCAR,H.ATAKAYA,2.11.37,"8,75",%12(4),5,4 Boy,,33,Handikap,3,Araplar,1700,Kum,,,Normal,,,
28/12/2024,4,"BIÇKIN KRAL(4) KG
 K",3y a e,SONALP- NEVGÜL / DRUID (PL),52+2.00,A.H.BAYAR AP,İLHAN KAPUSIZ,MUH.YILDIRIM,2.12.09,"8,70",%6(6),2,3 Boy,,38,Handikap,3,Araplar,1700,Kum,,,Normal,,,
28/12/2024,5,"FARKİN RÜZGARI(6) KG
 DB
 SK",3y d e,GÖĞEBAKAN- LEYLAKIZI / EMİRBEY,50,T.YILMAZ AP,CENGİZ ÇETİN,B.DEMİRKAPU,2.12.64,"14,80",%8(5),4,,4 Boy,31,Handikap,3,Araplar,1700,Kum,,,Normal,,,
28/12/2024,6,MENABINOĞLU(7) DB,3y k e,ŞİMŞEĞİNOĞLU- AYLİSCAN / HABERBATUR,50+1.70,M.BAL AP,KASIM TUMBUL,MEHM.KAYA,2.12.87,"15,55",%5(7),3,,,31,Handikap,3,Araplar,1700,Kum,,,Normal,,,
28/12/2024,7,"DOĞUNUN KARATAŞI(3) SKG
 SK",3y k e,SON MARTI- YARDIMCI GÜLÜ / EMİRBEY,"57,5",M.E.DOĞAN,ÖMER YARDIMCI,EY.YARDIMCI,Derecesiz,"3,30",%17(3),6,,,49,Handikap,3,Araplar,1700,Kum,,,Normal,,,
09/12/2024,1,"TAÇYİĞİT(3) KG
 DB
 SK",3y k e,KAANEFE- ŞÜKRANCAN / RİKARDO,"56,5+1.00",A.ÇANKAYA AP,BİŞAR ÇELİK,S.BECENE,1.47.15,"13,60",%3(7),8,"1,5 Boy",,52,Handikap,3,Araplar,1400,Kum,,,Normal,,,
09/12/2024,2,"RÜZGAR DELEN(4) KG
 DB
 SK",3y a e,SERHANTAY- KINALIGELİN / PİR KARACA,56,M.ŞAKİR AP,YASİN TEKTAŞ,M.GÜNDÜZ,1.47.40,"5,95",%12(3),13,2 Boy,,51,Handikap,3,Araplar,1400,Kum,,,Normal,,,
09/12/2024,3,"DOĞUNUN KARATAŞI(5) SKG
 SK",3y k e,SON MARTI- YARDIMCI GÜLÜ / EMİRBEY,"56,5",F.YARDIMCI,ÖMER YARDIMCI,EY.YARDIMCI,1.47.73,"2,30",%28(1),10,"1,5 Boy",,48,Handikap,3,Araplar,1400,Kum,,,Normal,,,
09/12/2024,4,"BABADİZDAR(15) KG
 K",3y a e,DİZDAR BEY- ZELYURT GÜLÜ / RİKARDO,50+1.20,M.BAL AP,KUTBETTİN SAÇAN,S.BECENE,1.48.06,"23,70",%2(12),9,5 Boy,,30,Handikap,3,Araplar,1400,Kum,,,Normal,,,
09/12/2024,5,"FERHAT KARDEŞ(2) KG
 SK",3y k e,HABERKAN- GOBAKHALA / RİKARDO,59,A.AKDEMİR,HAMZA CANLIKA,AB.AKIL,1.48.97,"3,25",%19(2),14,,1 Boy,53,Handikap,3,Araplar,1400,Kum,,,Normal,,,
09/12/2024,6,"SEMENDİN GÜCÜ(10) SKG
 SK",3y a d,SEMEND- EZGİLİ / DEMİRKAZIK,54+2.00,S.KAPLAN,SERHAT ŞAHİN,C.ŞAHİN,1.50.72,"13,55",%6(6),2,,,43,Handikap,3,Araplar,1400,Kum,,,Normal,,,
09/12/2024,7,"BABADENİZ(8) KG
 K
 DB
 GKR",3y a e,KAYAYÜREKLİ- CESİKA / GOBAKBEY,55+2.00,İ.KATAR,MEHMET DİLBER,M.GÜNDÜZ,1.52.61,"21,55",%2(11),11,,,45,Handikap,3,Araplar,1400,Kum,,,Normal,,,
09/12/2024,8,"BALAK GAZİ(9) KG
 SK",3y a e,GELİBOLU- ARTUKNAZ / BERKSOY,"51,5",T.YILMAZ AP,EKREM BİRDEN,H.TEKİNALP,1.54.40,"14,15",%3(8),12,,,44,Handikap,3,Araplar,1400,Kum,,,Normal,,,
09/12/2024,9,"ARTUKOĞLU(1) KG
 DB
 SK",3y k e,ARTUKHAN- ŞARK CEYLANI / DEHA,"59,5",H.ALTUNDAĞ,ÖMER KARAÇİZMELİ,M.BARCİN,1.54.48,"8,95",%8(4),3,,,54,Handikap,3,Araplar,1400,Kum,,,Normal,,,
09/12/2024,10,"ADİLMAN(7) KG
 SK",3y a e,ARTOS- BECENE GÜLÜ / DEHA,55+2.00,H.ALTUNKILIÇ,SAVAŞ ERCÜMENT BECENE,S.BECENE,1.58.64,"16,95",%3(9),5,,,45,Handikap,3,Araplar,1400,Kum,,,Normal,,,
09/12/2024,11,"ATEŞ IN MY HEART(14) DB
 SKG
 SK",3y a e,SERHANTAY- CANÖZÜMLÜ / BEYEFENDİ,52+1.60,M.AKDAĞ AP,MUZBAH YARDIMCI,EY.YARDIMCI,1.59.56,"23,00",%1(14),15,,,39,Handikap,3,Araplar,1400,Kum,,,Normal,,,
