Tarih,Sıra,At İsmi,Yaş,Orijin,Sıklet,Jokey,Sahip,Antrenör,Derece,Ganyan,AGF,Start No,Fark,Geç Çıkış,HP,Yarış Tipi,Yaş Grubu,At Cinsi,Mesafe,Pist Tipi,Çim Durumu,Çim Değeri,Kum Durumu,Sıcaklık,Hava Durumu,Nem
31/03/2025,1,"INVINCIBLE(2) KG
 K",5y a a,SERHANTAY- SİBELCE / GOBAKBEY,62,H.ALTUNDAĞ,MUSTAFA ÖZKAN,OSM.DEMİR,1.38.32,"6,65","%10(5)
%10(5)",3,"4,5 Boy",,72,Handikap,4,Araplar,1400,Kum,,,Normal,,,
31/03/2025,2,KILIÇBAĞI(7) KG,6y a a,ÖZGÜNHAN- İTİLŞAN / TIKI TORK KU (US),"59,5",F.YARDIMCI,MUSTAFA YARDIMCI,EY.YARDIMCI,1.39.26,"4,00","%17(1)
%17(1)",4,4 Boy,3 Boy,67,Handikap,4,Araplar,1400,Kum,,,Normal,,,
31/03/2025,3,"KARAŞİMŞEK(9) KG
 SK",5y d a,ŞİMŞEĞİM- SEVDA KIZI / GOBAKBEY,"55,5",A.H.BAYAR AP,ŞEYHMUS KARAKAN,M.SUSEN,1.39.98,"5,35","%13(3)
%13(4)",6,5 Boy,,63,Handikap,4,Araplar,1400,Kum,,,Normal,,,
31/03/2025,4,PAYİDAR KAYA(12) SK,5y d a,KAYAYÜREKLİ- NAMOOS (GB) / AL SAKBE (FR),54,N.ALTIN,MEHMET EMİN DEMİRKAPU,D.DEMİRKAPU,1.40.99,"23,85","%3(12)
%3(12)",9,"6,5 Boy",,56,Handikap,4,Araplar,1400,Kum,,,Normal,,,
31/03/2025,5,"ŞİMŞEK OĞLU(11) SKG
 SK",6y k a,ŞİMŞEĞİNOĞLU- KIRMATRA / SAĞANAK,"58,5",A.AKDEMİR,NAİF KARAKEÇİ,Z.AKDEMİR,1.42.37,"5,75","%7(2)
%7(2)",8,,,65,Handikap,4,Araplar,1400,Kum,,,Normal,,,
31/03/2025,6,"ÖZERDİNÇ(4) DB
 SKG
 SK",11y d a,KARA YAĞIZ- SAFİCAN / KURUŞBEY,"61,5",M.DOĞAN,FUAT CANLIKA,AB.AKIL,1.43.14,"38,80","%2(14)
%2(14)",14,,,71,Handikap,4,Araplar,1400,Kum,,,Normal,,,
31/03/2025,7,"HUSREV(6) KG
 SK",5y a a,ÖZHABER- DESSAS / ODİNHAN,"59,5",S.KAPLAN,MAHMUT KARAKEÇİ,Z.AKDEMİR,1.43.59,"5,75","%7(2)
%7(2)",13,,,67,Handikap,4,Araplar,1400,Kum,,,Normal,,,
31/03/2025,8,"DİKME AĞASI(13) KG
 SK",8y k a,ONURKAAN- İLTERİŞHAN / BOZDAĞ,"53,5+2.00",M.E.DOĞAN,FERİDUN YUVARLAK,EY.YARDIMCI,1.43.65,"19,95","%5(8)
%4(8)",15,,5 Boy,55,Handikap,4,Araplar,1400,Kum,,,Normal,,,
31/03/2025,9,"MUŞFIRTINASI(10) KG
 K",5y k a,DİZDAR BEY- ZELYURT GÜLÜ / RİKARDO,"57,5",Y.CENGİZ,GÜNAYDIN SAÇAN,S.BECENE,1.44.26,"20,25","%3(10)
%3(10)",1,,,63,Handikap,4,Araplar,1400,Kum,,,Normal,,,
31/03/2025,10,"KOŞAR ZEYNEL(15) KG
 DB
 SK",6y k a,SON MARTI- YARDIMCI GÜLÜ / EMİRBEY,49+0.30,T.YILMAZ AP,ÖMER YARDIMCI,EY.YARDIMCI,1.44.80,"30,40","%3(11)
%3(11)",5,,,50,Handikap,4,Araplar,1400,Kum,,,Normal,,,
31/03/2025,11,"İLKAYOĞLU(1) KG
 SK",8y a a,YAVUZŞAH- İLKAYSULTAN / ANTEPLİ,63,İ.KATAR,EMRAH CANPOLAT,İ.ÇEÇAN,1.45.67,"21,05","%4(9)
%4(9)",10,,,74,Handikap,4,Araplar,1400,Kum,,,Normal,,,
31/03/2025,12,"KOŞANASLAN(8) KG
 DB
 SK",7y k a,KAIZBERT (RU)- BABACANYAN / TEKELİOĞLU,"59,5",İ.AKYAVUZ,SEÇKİN TOYDEMİR,M.A.ÇİÇEK,1.48.17,"5,10","%12(4)
%13(3)",7,,,67,Handikap,4,Araplar,1400,Kum,,,Normal,,,
31/03/2025,13,"SABIR BEY(5) KG
 SK",9y k a,ATİKBEY- KAYISI / YAŞARCIK,61,H.SARIDAL,HÜSEYİN BECENE,S.BECENE,1.52.99,"38,70","%2(13)
%2(13)",2,,,70,Handikap,4,Araplar,1400,Kum,,,Normal,,,
