Tarih,Sıra,At İsmi,Yaş,Orijin,Sıklet,Jokey,Sahip,Antrenör,Derece,Ganyan,AGF,Start No,Fark,Geç Çıkış,HP,Yarış Tipi,Yaş Grubu,At Cinsi,Mesafe,Pist Tipi,Çim Durumu,Çim Değeri,Kum Durumu,Sıcaklık,Hava Durumu,Nem
14/03/2025,1,"DRAGON PULSE(1) DB
 SK",6y a a,AGRESIVO (USA)- ANOUCHKA / STRIKE THE GOLD (USA),61,N.AVCİ,ENGİN ATEŞLER,M.BULUT,1.26.07,"1,15",%69(1),4,Burun,,100,Handikap,4,İngilizler,1400,Kum,Normal,"3,3",Normal,,,
14/03/2025,2,"FLASH BOY(6) KG
 K",4y a a,PERFECT STORM- KARALİNDA / VELOCIRAPTOR (GB),52,O.ATMACA,ERAY KOKTAY,S.YANIK,1.26.08,"14,20",%5(4),6,"3,5 Boy",,74,Handikap,4,İngilizler,1400,Kum,Normal,"3,3",Normal,,,
14/03/2025,3,"GRAND SUN(2) DB
 SKG
 SK",6y d a,INVINCIBLE SON (IRE)- GROUND SHAKER / GRAND EKINOKS,56+0.50,M.M.BİLGİN,ERCAN SÖKMEZ,Ü.AYBOĞA,1.26.65,"11,10",%7(3),1,Baş,,90,Handikap,4,İngilizler,1400,Kum,Normal,"3,3",Normal,,,
14/03/2025,4,"SWEET SACRIFICE(3) K
 DB
 SK",4y d k,CATAPULT (USA)- ILDIR GUZELI (IRE) / SRI PEKAN (USA),55+1.20,M.ÇİÇEK,GÖRKEM GEDİKOĞLU,D.TEKELİ,1.26.67,"5,00",%15(2),2,"2,5 Boy",,90,Handikap,4,İngilizler,1400,Kum,Normal,"3,3",Normal,,,
14/03/2025,5,"BATMAN ÇOCUĞU(4) SKG
 SK
 (Satılık)",4y d a,LION HEART (USA)- MUZAFFER SULTAN / UNACCOUNTED FOR (USA),52+2.00,B.M.MIRIK,ŞEHABETTİN DOYAN,Ü.BULUT,1.27.05,"15,55",%2(5),3,,,84,Handikap,4,İngilizler,1400,Kum,Normal,"3,3",Normal,,,
14/03/2025,6,ICE BEAR(5) SK,4y k a,GRAYSTORM- ART LADY / ARGAEUS (GB),52+1.70,E.AKTUĞ,DENİZ AÇIK,T.VATANSEVER,1.29.66,"15,80",%2(6),5,,,78,Handikap,4,İngilizler,1400,Kum,Normal,"3,3",Normal,,,
28/02/2025,1,"HARD AND FAST(1) KG
 DB
 SK",4y d a,AIR VICE MARSHAL (USA)- HER STAR (USA) / HARLAN'S HOLIDAY (USA),56,N.AVCİ,İRFAN AKGÜL,A.TEKE,1.13.28,"3,10",%20(2),1,3 Boy,,85,KV,4,İngilizler,1200,Kum,,,Nemli,,,
28/02/2025,2,"SWEET SACRIFICE(3) K
 DB
 SK",4y d k,CATAPULT (USA)- ILDIR GUZELI (IRE) / SRI PEKAN (USA),56,A.SÖZEN,GÖRKEM GEDİKOĞLU,D.TEKELİ,1.13.74,"1,90",%48(1),2,"4,5 Boy",,90,KV,4,İngilizler,1200,Kum,,,Nemli,,,
28/02/2025,3,"OBRADA(2) DB
 SKG
 SK",10y a g,LION HEART (USA)- MAMMA MIA / ROYAL ABJAR (USA),56+0.20,M.M.BİLGİN,İZZET ÖZEN,A.KAMIŞ,1.14.55,"7,90",%10(4),4,Boyun,,92,KV,4,İngilizler,1200,Kum,,,Nemli,,,
28/02/2025,4,"GUTSHOT(4) KG
 DB
 SK",5y d a,MALİ- LADY SMITH / PERFECT STORM,55+2.00,M.KAYA,ÇAĞDAŞ CAN ÇUBUKÇU,Y.ARSLANCA,1.14.62,"3,05",%20(3),3,,,88,KV,4,İngilizler,1200,Kum,,,Nemli,,,
