Tarih,Sıra,At İsmi,Yaş,Orijin,Sıklet,Jokey,Sahip,Antrenör,Derece,Ganyan,AGF,Start No,Fark,Geç Çıkış,HP,Yarış Tipi,Yaş Grubu,At Cinsi,Mesafe,Pist Tipi,Çim Durumu,Çim Değeri,Kum Durumu,Sıcaklık,Hava Durumu,Nem
09/04/2025,1,"DORUĞUN AYAZI(2) KG
 DB",6y k a,TURBO- GUBSE / ŞÖVALYE,"62,5",A.E.ELMAS,HAKAN KANDİL,T.BİRİCİK,1.33.23,"12,05",%6(7),3,Yarım Boy,,66,Handikap,4,Araplar,1400,Sentetik,,,Normal,,,
09/04/2025,2,"ORMANCIBEY(10) KG
 DB
 SK",5y k a,TURBO- İNCİÇİÇEĞİ / ALBATUR,50+2.00,Ç.TAŞCI,ALİ ASGAR AKYAZI,MET.ACAR,1.33.30,"3,85",%17(2),2,"3,5 Boy",,24,Handikap,4,Araplar,1400,Sentetik,,,Normal,,,
09/04/2025,3,"KAYALARIN EFENDİSİ(4) KG
 DB",5y d a,YÜREKKAYA- N'DJAMENA (FR) / KERBELLA (FR),59,Y.Ş.GÜMÜŞ,SELİM KAYA,V.KARAKUŞ,1.33.88,"4,75",%15(3),9,Boyun,,63,Handikap,4,Araplar,1400,Sentetik,,,Normal,,,
09/04/2025,4,"MADEN DAĞI(5) KG
 DB
 SK",5y k a,KURTEL- KUZUM / BERKOŞ,"59,5",HA.GÖKÇE,FİDAN ALTIN,FERH.ALTIN,1.33.91,"7,35",%11(5),5,3 Boy,,60,Handikap,4,Araplar,1400,Sentetik,,,Normal,,,
09/04/2025,5,"DİLBERAN(7) KG
 K",5y k k,SAADIN GÜCÜ- ÖZ FIRAT / HABERBATUR,"57,5",Y.GÖKÇE,CEM NARİN,S.DURGUÇ,1.34.43,"3,70",%20(1),1,,,56,Handikap,4,Araplar,1400,Sentetik,,,Normal,,,
09/04/2025,6,"BABA ZAMAN(3) KG
 DB
 SK",6y a g,SULTAN DE FAUST (FR)- ATIĞ HATUN / SERTAY,62,M.F.KAYA,AHMET KAYA,GÜV.GÖKÇE,1.35.04,"11,80",%7(6),8,,,65,Handikap,4,Araplar,1400,Sentetik,,,Normal,,,
09/04/2025,7,EGETAY(1) GKR,7y k a,ALTAHA- AHUBERE / CAŞ,63,E.AVŞAR,TOLGA ŞAHİN,E.USLU,1.35.34,"13,60",%5(8),7,,,67,Handikap,4,Araplar,1400,Sentetik,,,Normal,,,
09/04/2025,8,"DELİ TURBO(6) KG
 DB",5y k a,TURBO- ESRAM / ARASLI,59+0.10,H.TURAN,NURİ TURAN,M.ALİ TURAN,1.35.53,"5,15",%13(4),6,,,59,Handikap,4,Araplar,1400,Sentetik,,,Normal,,,
09/04/2025,9,"MERTAT(9) KG
 K",5y a a,KAIZBERT (RU)- ROMALI / ALPAK,50+1.00,M.T.COŞKUN,MERT ÇELİK,GÜV.GÖKÇE,1.40.16,"34,70",%1(9),4,,,34,Handikap,4,Araplar,1400,Sentetik,,,Normal,,,
09/04/2025,,"ALTIN SAAD(8) KG
 K
 (Koşmaz)",5y a a,SAADIN GÜCÜ- ALTINSERÇE / ŞÖVALYE,50,U.LEVENT,MEHMET ÇAVUŞ,A.KURT,Koşmaz,,%4(10),10,,,41,Handikap,4,Araplar,1400,Sentetik,,,Normal,,,
22/03/2025,1,"BAHÇEDEREBEYİ(6) KG
 DB
 SK",5y k a,BATURŞAH- ELİF HATUN / ŞÖVALYE,56,A.YILDIZ,YÜKSEL GÖKTÜRK,H.BOYRAZ,1.32.08,"1,80",%37(1),9,"2,5 Boy",,102,,4,Araplar,1400,Sentetik,,,Normal,12,Açık,45
22/03/2025,2,"AZERİ DAMAT(4) KG
 K
 DB
 GKR",5y a a,UÇARLIM- ÖZBEYSTAR / HABERBATUR,57,VEDAT ABİŞ,YURDAL KARGIN,MUR.AKKILIÇ,1.32.46,"14,05",%7(5),10,"1,5 Boy",,82,,4,Araplar,1400,Sentetik,,,Normal,12,Açık,45
22/03/2025,3,"SANCAR(8) KG
 DB
 SK",8y k a,ALTAHA- RENGİN / HALİD,56,G.ÖZÇELİK,MURAT AKTAŞ,C.TURAN,1.32.65,"6,10",%16(2),6,Burun,,99,,4,Araplar,1400,Sentetik,,,Normal,12,Açık,45
22/03/2025,4,"VİZİGOT(10) KG
 DB
 SK",7y k a,KAIZBERT (RU)- SORKUN KIZ / HABERBATUR,53+1.70,K.YILMAZ AP,MERT ÇELİK,GÜV.GÖKÇE,1.32.66,"17,75",%1(6),1,Boyun,,86,,4,Araplar,1400,Sentetik,,,Normal,12,Açık,45
22/03/2025,5,"İLLEDE SÜRMELİ(2) KG
 GKR",7y a a,TURBO- ESENHANIM / ŞÖVALYE,60,A.SÖZEN,ŞAHNUR KARACA,M.ACAR,1.32.68,"4,75",%15(3),4,,,96,,4,Araplar,1400,Sentetik,,,Normal,12,Açık,45
22/03/2025,6,"LİMA(3) KG
 DB
 SK",7y k k,GELİBOLU- ELMASBİKE / DEVİRHAN,60,N.AVCİ,ERDOĞAN ŞENOCAKLI,T.ŞİT,1.33.24,"6,35",%15(4),7,,,95,,4,Araplar,1400,Sentetik,,,Normal,12,Açık,45
22/03/2025,7,"LEONİDAS(7) KG
 SK",7y d a,ŞAMİLBEY- BUZDENİZİ / KAIZBERT (RU),52+0.30,Y.GÖKÇE AP,METE ÇELİK,GÜV.GÖKÇE,1.33.59,"18,10",%4(7),8,,,88,,4,Araplar,1400,Sentetik,,,Normal,12,Açık,45
22/03/2025,8,"FIRTINALAR DİYARI(5) DB
 SK",7y k a,TAMERİNOĞLU- BEYAZ İNCİ / BERKOŞ,54+1.00,BERK.GÖKÇE AP,MEHMET SAİT AYALP,S.ÇİFTÇİ,1.33.70,"18,60",%2(8),3,,,87,,4,Araplar,1400,Sentetik,,,Normal,12,Açık,45
