Tarih,Sıra,At İsmi,Yaş,Orijin,Sıklet,Jokey,Sahip,Antrenör,Derece,Ganyan,AGF,Start No,Fark,Geç Çıkış,HP,Yarış Tipi,Yaş Grubu,At Cinsi,Mesafe,Pist Tipi,Çim Durumu,Çim Değeri,Kum Durumu,Sıcaklık,Hava Durumu,Nem
25/02/2025,1,"BERKENİN KIZI(1) KG
 K
 DB",6y a k,KAIZBERT (RU)- İPEKELA / HABERBATUR,56+0.60,A.KURŞUN,ELÇİN DOĞAN KURU,S.ALTUNBAŞ,1.24.42,"1,60",%41(1),7,"2,5 Boy",,104,KV,4,Araplar,1300,Sentetik,,,Normal,,,
25/02/2025,2,"GÖZPINARI(5) DB
 SKG
 SK",6y k k,KARAÜZÜM- İNCİNAZ / YELHAN,56,A.SÖZEN,MELİH TEMEL,C.AYDOĞAN,1.24.82,"2,20",%39(2),1,4 Boy,,102,KV,4,Araplar,1300,Sentetik,,,Normal,,,
25/02/2025,3,"YAŞARSERAP(7) KG
 DB
 SK",5y a k,KAYAYÜREKLİ- GÜNLÜK GÜNEŞLİK / GÜNTAY,56,E.AKTUĞ,YUNUS KARAKOÇ,AYC.POLAT,1.25.51,"10,25",%5(4),3,Boyun,,94,KV,4,Araplar,1300,Sentetik,,,Normal,,,
25/02/2025,4,"DİLAN KIZ(3) KG
 DB
 SK",6y d k,ULUER- ABAKAY / İBOCAN,56+0.50,B.AKÇAY,MEHMET ÇELİK,HAS.ALTUNBAŞ,1.25.57,"68,05",%1(7),6,Burun,,73,KV,4,Araplar,1300,Sentetik,,,Normal,,,
25/02/2025,5,"BORNOVALIM(2) KG
 DB
 SK
 GKR",7y d k,BABA MEVLÜT- CEMRESU / ANTEPLİ,56+0.20,B.M.MIRIK,TANSEL ARSLAN,B.ÇAKUS,1.25.58,"24,75",%3(5),5,,,93,KV,4,Araplar,1300,Sentetik,,,Normal,,,
25/02/2025,6,"GELİBOLU RÜZGARI(4) DB
 SK",7y k k,GELİBOLU- RIHAN / KOŞANEFE,56+0.50,H.ÇİZİK,DORUK SÖKMEN,MERT KORKMAZ,1.28.13,"10,60",%11(3),2,,,90,KV,4,Araplar,1300,Sentetik,,,Normal,,,
25/02/2025,7,"HABBE(6) KG
 SK",6y k k,KARAÜZÜM- CANSUDE / SULTAN DE FAUST (FR),56+0.30,SER.YILDIZ AP,EMRAH KAYAR,M.ARICI,1.29.68,"28,40",%1(6),4,,,86,KV,4,Araplar,1300,Sentetik,,,Normal,,,
11/02/2025,1,"ALKANLI(2) KG
 DB
 SK",5y a a,KAIZBERT (RU)- MİNİK KIZ / DEMİRKAZIK,59,VEDAT ABİŞ,TOYGAR AKDİKMEN,EN.KARATAŞ,1.52.84,"2,30",%22(2),4,"1,5 Boy",1 Boy,101,KV,4,Araplar,1700,Sentetik,,,Normal,,,
11/02/2025,2,"ŞAFAK ZAMANI(6) KG
 DB
 SK",5y k a,TURBO- KIRŞAFAK / BEN ANADOLU,59,Ö.YILDIRIM,HACI DURAN KOCA,F.ÇELTİK,1.53.03,"3,35",%12(5),2,"3,5 Boy",,96,KV,4,Araplar,1700,Sentetik,,,Normal,,,
11/02/2025,3,"BOĞAZ ÇOCUĞU(3) KG
 DB",6y a a,CANGIL- CAŞDANAY / CAŞ,59,A.ÇELİK,FERAT ÖZKAN,ADN.POLAT,1.53.65,"3,30",%19(3),1,"1,5 Boy",2 Boy,106,KV,4,Araplar,1700,Sentetik,,,Normal,,,
11/02/2025,4,"BERKENİN KIZI(4) KG
 K
 DB",6y a k,KAIZBERT (RU)- İPEKELA / HABERBATUR,57,A.KURŞUN,ELÇİN DOĞAN KURU,S.ALTUNBAŞ,1.53.88,"3,50",%18(4),6,4 Boy,,104,KV,4,Araplar,1700,Sentetik,,,Normal,,,
11/02/2025,5,"AKTAŞKAYA(1) KG
 SK",5y a a,KAFKASLIEFSANESİ- NARGÜZELİ / YAVUZCA,59,M.KAYA,AHMET KAYA,MERT KORKMAZ,1.54.65,"3,05",%28(1),3,,,101,KV,4,Araplar,1700,Sentetik,,,Normal,,,
