Tarih,Sıra,At İsmi,Yaş,Orijin,Sıklet,Jokey,Sahip,Antrenör,Derece,Ganyan,AGF,Start No,Fark,Geç Çıkış,HP,Yarış Tipi,Yaş Grubu,At Cinsi,Mesafe,Pist Tipi,Çim Durumu,Çim Değeri,Kum Durumu,Sıcaklık,Hava Durumu,Nem
30/03/2025,1,"UZUN TAY(1) DB
 SKG
 SK",5y d a,İSFENDİYAR- ANOŞ / HABERBATUR,"60,5",N.AVCİ,AVNİ KAYA,C.T.KÖSE,2.16.65,"2,65",%25(2),2,4 Boy,,71,,4,Araplar,2000,Çim,Yumuşak,"3,7",Nemli,,,
30/03/2025,2,"ARGALI(3) KG
 SK",5y k a,ALPYÜREK- BONCUKTAY / ANTEPLİ,"56,5",MER.ÇELİK,EYÜP ERDEMİR,O.TAŞDEMİR,2.17.29,"6,90",%6(6),7,2 Boy,,72,,4,Araplar,2000,Çim,Yumuşak,"3,7",Nemli,,,
30/03/2025,3,"KATI ZEYNEL(8) KG
 DB
 SK
 GKR",5y k a,JOKER- GÜLBERCA / SERDARBEY,"56,5",E.AKTUĞ,SALİH DURMAZ,B.GÜL,2.17.59,"19,45",%3(7),1,10 Boy,,53,,4,Araplar,2000,Çim,Yumuşak,"3,7",Nemli,,,
30/03/2025,4,"NAİFOĞLUM(11) DB
 SKG
 SK
 YP",6y k a,UÇANOĞLU- MUNGAN / DEMİRKIR,"53,5",H.YOLAÇICI AP,ERHAN SÖĞÜT,A.ÖKSÜZLER,2.19.31,"33,00",%1(8),6,4 Boy,,68,,4,Araplar,2000,Çim,Yumuşak,"3,7",Nemli,,,
30/03/2025,5,FIRAT BABA(4) DB,8y k a,TOŞUR- AYA BENZER / YALAZ,"56,5",M.M.BİLGİN,MUSTAFA DURMAZ,E.C.BAYDAN,2.19.95,"3,25",%26(1),9,,,81,,4,Araplar,2000,Çim,Yumuşak,"3,7",Nemli,,,
30/03/2025,6,"MİKSER(5) KG
 DB
 SK",7y k g,TURBO- CAN ZEHRA / ÇORUH,"53,5+0.50",İ.S.SÖĞÜT AP,MEHMET BİRDEN,Ü.AYBOĞA,2.20.57,"5,15",%12(3),5,,,74,,4,Araplar,2000,Çim,Yumuşak,"3,7",Nemli,,,
30/03/2025,7,"BAY TURBO(6) KG
 GKR",5y k a,TURBO- ALÇİÇEK / SÜLO,"56,5",G.ÖZÇELİK,HASAN PEHLİVAN,N.GÖNÜLTAŞ,2.26.67,"13,40",%6(5),10,,,51,,4,Araplar,2000,Çim,Yumuşak,"3,7",Nemli,,,
30/03/2025,8,SEÇER BEY(9),8y a a,ÖZGÜNHAN- PERİHAN ABLA / EMAEL (PL),"56,5",B.M.MIRIK,ARZU KESKİN,A.ÖKSÜZLER,2.26.68,"6,85",%10(4),3,,,77,,4,Araplar,2000,Çim,Yumuşak,"3,7",Nemli,,,
30/03/2025,9,"BAYBARS ALMHIMID(10) KG
 DB",4y k a,ANADOLU POYRAZI- PINARGÜLÜ / DİLBERAĞA,50+2.00,HA.GÖKÇE AP,BURÇİN ELBİRLİK,A.KARABIYIK,2.41.37,"51,95",%0(9),4,,,35,,4,Araplar,2000,Çim,Yumuşak,"3,7",Nemli,,,
30/03/2025,,"ALTINÜZÜM(2) KG
 K
 DB
 (Koşmaz)",6y a a,KARAÜZÜM- ALTINYUMAK / ALTAHA,"56,5",H.ŞİMŞEK,RAMAZAN KAN,T.DURAN,Koşmaz,,%11(10),11,,,88,,4,Araplar,2000,Çim,Yumuşak,"3,7",Nemli,,,
30/03/2025,,"SİLAHLIKIZ(7) DB
 SK
 (Koşmaz)",5y k k,SİLAH- URLA SULTANI / TURBO,"50,5",E.TEPE AP,DENİZ KURTEL,B.GÜL,Koşmaz,,%0(11),8,,,67,,4,Araplar,2000,Çim,Yumuşak,"3,7",Nemli,,,
13/03/2025,1,"CANMETE(4) KG
 DB",7y k a,TAMERİNOĞLU- NENEHATUN / BODRUM,"56,5",Ö.YILDIRIM,BEDRİ AKBULUT,B.AKBULUT,2.28.50,"1,50",%51(1),5,2 Boy,,107,,4,Araplar,2100,Kum,Normal,"3,3",Normal,,,
13/03/2025,2,ÇAĞDAŞ ALAÇAT(1) KG,6y k a,JOKER- RUHŞAT / TAMERİNOĞLU,"57,5",M.ÇİÇEK,HALUK OĞUZ,T.VATANSEVER,2.28.81,"3,90",%19(3),4,"1,5 Boy",,94,,4,Araplar,2100,Kum,Normal,"3,3",Normal,,,
13/03/2025,3,"BALKI TAY(2) KG
 DB",5y a a,ÖZGÜNHAN- ARCİVAN / ATAK,"56,5+0.10",M.M.BİLGİN,MURAT KAYA,M.GÜDÜCÜ,2.29.01,"3,80",%21(2),2,"1,5 Boy",,92,,4,Araplar,2100,Kum,Normal,"3,3",Normal,,,
