Tarih,Sıra,At İsmi,Yaş,Orijin,Sıklet,Jokey,Sahip,Antrenör,Derece,Ganyan,AGF,Start No,Fark,Geç Çıkış,HP,Yarış Tipi,Yaş Grubu,At Cinsi,Mesafe,Pist Tipi,Çim Durumu,Çim Değeri,Kum Durumu,Sıcaklık,Hava Durumu,Nem
18/01/2025,1,"LİMA(7) KG
 DB
 SK",7y k k,GELİBOLU- ELMASBİKE / DEVİRHAN,"56,5",Ö.YILDIRIM,ERDOĞAN ŞENOCAKLI,T.ŞİT,1.39.51,"3,95","%16(2)
%16(2)",8,"1,5 Boy",,93,KV,4,Araplar,1500,Sentetik,,,Normal,9,Açık,66
18/01/2025,2,"LUSİA(8) KG
 K",6y a k,KAIZBERT (RU)- DOST ELİ / GÜNDENİZ,"56,5",A.SÖZEN,ADNAN GELEN,E.USLU,1.39.70,"4,55","%13(4)
%14(4)",6,Burun,,94,KV,4,Araplar,1500,Sentetik,,,Normal,9,Açık,66
18/01/2025,3,"GELİBOLU RÜZGARI(2) DB
 SK",7y k k,GELİBOLU- RIHAN / KOŞANEFE,"56,5",M.ÇİÇEK,DORUK SÖKMEN,G.ŞİMŞEK,1.39.71,"4,60","%15(3)
%15(3)",5,"1,5 Boy",,90,KV,4,Araplar,1500,Sentetik,,,Normal,9,Açık,66
18/01/2025,4,"BÜYÜK YILDIZ(1) KG
 SK",6y a k,UÇANOĞLU- DİLŞEKER / ÖZGÜNHAN,"56,5",M.M.BİLGİN,GÖKHAN YILDIZ,MİR.İPEK,1.39.92,"31,15","%1(9)
%2(9)",10,Yarım Boy,"1,5 boy",91,KV,4,Araplar,1500,Sentetik,,,Normal,9,Açık,66
18/01/2025,5,"KILIÇASLI(5) KG
 DB
 SK",6y a k,TURBO- GÜLERANA / DAYIBEY,"56,5+0.70",M.KAYA,ÇİSİL SİMGE DENİZ,M.SOYKUVVET,1.40.03,"19,80","%3(7)
%3(7)",9,,,76,KV,4,Araplar,1500,Sentetik,,,Normal,9,Açık,66
18/01/2025,6,"NERGİZLİ(10) KG
 K",4y d k,SONALP- KIŞKIRTICI / İBOCAN,54+0.50,A.YILDIZ,EMRE KOÇ,V.YÜKSEL,1.40.19,"1,70","%32(1)
%33(1)",3,,,84,KV,4,Araplar,1500,Sentetik,,,Normal,9,Açık,66
18/01/2025,7,"KURŞUNİLİ(6) KG
 K",6y k k,SİLAH- MOĞOLGÜLÜ / SÜLO,"56,5",VEDAT ABİŞ,DENİZ KURTEL,H.YÜZBAŞI,1.40.23,"4,60","%12(5)
%12(5)",2,,,92,KV,4,Araplar,1500,Sentetik,,,Normal,9,Açık,66
18/01/2025,8,"İWOJİMA(4) KG
 K
 DB",5y k k,ÖZGÜNHAN- OKİNAWA / HABERBATUR,"56,5",MER.ÇELİK,HAKAN YÜCETÜRK,S.BEKTAŞ,1.40.84,"23,00","%3(6)
%3(6)",4,,,76,KV,4,Araplar,1500,Sentetik,,,Normal,9,Açık,66
18/01/2025,9,"HAZBALIK(3) KG
 DB
 SK",5y k k,BALIKHAN- HAZ / EMİROĞLU,"56,5+0.20",T.YILDIZ,FATMA NİLGÜN KUTLU,M.MEHMET İNAL,1.42.73,"43,85","%2(8)
%2(8)",1,,,86,KV,4,Araplar,1500,Sentetik,,,Normal,9,Açık,66
18/01/2025,10,"SAADGIRL(9) KG
 DB
 SK",5y d k,SAADIN GÜCÜ- ALTINARMAĞAN / ARATBEY,"56,5",E.BOZDAĞ AP,MURAT BAYAR,V.YÜKSEL,1.42.83,"32,55","%1(10)
%1(10)",7,,,74,KV,4,Araplar,1500,Sentetik,,,Normal,9,Açık,66
04/01/2025,1,"SAADGIRL(5) KG
 DB
 SK",5y d k,SAADIN GÜCÜ- ALTINARMAĞAN / ARATBEY,58,E.BOZDAĞ AP,MURAT BAYAR,V.YÜKSEL,2.20.46,"27,85","%2(8)
%2(8)",3,Yarım Boy,,70,,4,Araplar,2000,Sentetik,,,Normal,,,
04/01/2025,2,"KILIÇASLI(8) KG
 DB
 SK",6y a k,TURBO- GÜLERANA / DAYIBEY,57+0.30,M.KAYA,ÇİSİL SİMGE DENİZ,M.SOYKUVVET,2.20.57,"5,95","%12(5)
%12(5)",8,Yarım Boy,,76,,4,Araplar,2000,Sentetik,,,Normal,,,
04/01/2025,3,"BELKIS ANA(1) KG
 DB
 SK",5y a k,SAADIN GÜCÜ- SEVDALIMSINCAN / GÜNTAY,61,M.ÇİÇEK,TUNCAY PALIT,Y.TAŞKIN,2.20.69,"5,50","%16(3)
%16(3)",6,Baş,,80,,4,Araplar,2000,Sentetik,,,Normal,,,
04/01/2025,4,"İWOJİMA(6) KG
 K
 DB",5y k k,ÖZGÜNHAN- OKİNAWA / HABERBATUR,58,N.AVCİ,HAKAN YÜCETÜRK,S.BEKTAŞ,2.20.72,"2,00","%26(1)
%25(1)",7,Boyun,,76,,4,Araplar,2000,Sentetik,,,Normal,,,
04/01/2025,5,"CANCAZIM(3) KG
 DB
 SK
 GKR",5y k k,CANKARDEŞLER- DOLUDİZGİN / YAŞARCIK,58,BERK.GÖKÇE AP,NAZAN TUNCAR,B.KOCAKAYA,2.20.77,"13,10","%6(6)
%6(6)",4,,,66,,4,Araplar,2000,Sentetik,,,Normal,,,
04/01/2025,6,"TATLIÇAĞ(10) KG
 K
 DB",8y a k,ALTAHA- TÜKENMEZ / HÜRBATUR,57,S.İPEK,DİLEK BURAN,SEN.GÖKÇE,2.20.90,"19,65","%1(9)
%1(9)",2,,,41,,4,Araplar,2000,Sentetik,,,Normal,,,
04/01/2025,7,"BÜYÜK YILDIZ(2) KG
 SK",6y a k,UÇANOĞLU- DİLŞEKER / ÖZGÜNHAN,61,M.M.BİLGİN,GÖKHAN YILDIZ,MİR.İPEK,2.21.02,"3,85","%15(4)
%14(4)",9,,2 boy,93,,4,Araplar,2000,Sentetik,,,Normal,,,
04/01/2025,8,"HAZBALIK(4) KG
 DB
 SK",5y k k,BALIKHAN- HAZ / EMİROĞLU,61,A.YILDIZ,FATMA NİLGÜN KUTLU,M.MEHMET İNAL,2.23.03,"3,45","%19(2)
%20(2)",1,,,86,,4,Araplar,2000,Sentetik,,,Normal,,,
04/01/2025,9,O LA LA(9) K,6y a k,KARAÜZÜM- BİLGEAT / YALAZ,57,A.ASLAN,Z.AHSEN KURUM,ŞÜK. ÇELİK,2.23.31,"12,85","%3(7)
%3(7)",5,,1 boy,50,,4,Araplar,2000,Sentetik,,,Normal,,,
04/01/2025,10,"AĞDAŞLI(7) SKG
 SK",8y k k,SARRAF- LAVANTA / DEMİRKAZIK,57,GÖK.BEKTAŞ,MUHİTTİN ACAR,H.ACAR,2.31.06,"28,35","%1(10)
%1(10)",10,,,46,,4,Araplar,2000,Sentetik,,,Normal,,,
28/12/2024,1,"AFŞAR(2) KG
 K",6y a a,AYABAKAN- İLK KIZ / SEZGİNBEY,"61,5",G.KOCAKAYA,MÜCAHİT YILDIZHAN,V.AKBULUT,2.19.05,"1,55",%45(1),5,Burun,,96,KV,4,Araplar,2000,Sentetik,,,Normal,,,
28/12/2024,2,"BÜYÜK MENDERES(6) KG
 DB
 SK",4y k a,GÜRSU- SİMAYCAN / CAŞ,"57,5+0.80",M.KAYA,MELİS KURTEL EMİN,H.YÜZBAŞI,2.19.06,"7,50",%8(5),9,4 Boy,,83,KV,4,Araplar,2000,Sentetik,,,Normal,,,
28/12/2024,3,"NİĞBOLU(5) KG
 DB
 SK
 GKR",8y k a,GOBAKBEY- AMANOS / HABERBATUR,"59,5",A.YILDIZ,CÜNEYT ÇALICIOĞLU,S.AYDOĞAN,2.19.69,"6,70",%9(4),6,"1,5 Boy",,95,KV,4,Araplar,2000,Sentetik,,,Normal,,,
28/12/2024,4,"KURŞUNİLİ(8) KG
 K",5y k k,SİLAH- MOĞOLGÜLÜ / SÜLO,"57,5",N.AVCİ,DENİZ KURTEL,H.YÜZBAŞI,2.19.91,"5,45",%14(2),2,Yarım Boy,,92,KV,4,Araplar,2000,Sentetik,,,Normal,,,
28/12/2024,5,"FIRTINALAR DİYARI(1) KG
 DB",6y k a,TAMERİNOĞLU- BEYAZ İNCİ / BERKOŞ,"61,5",A.ÇELİK,MEHMET SAİT AYALP,S.ÇİFTÇİ,2.19.99,"10,85",%6(6),1,,,88,KV,4,Araplar,2000,Sentetik,,,Normal,,,
28/12/2024,6,"BÜYÜK YILDIZ(7) KG
 SK",5y a k,UÇANOĞLU- DİLŞEKER / ÖZGÜNHAN,"57,5",VEDAT ABİŞ,GÖKHAN YILDIZ,MİR.İPEK,2.20.14,"5,75",%11(3),7,,5 boy,93,KV,4,Araplar,2000,Sentetik,,,Normal,,,
28/12/2024,7,"GUBAZ(4) DB
 SK",8y a a,TURBO- GÖKÇEDİL / BİLGİN,"59,5",T.YILDIZ,İSRAFİL FELHAN,BET.YILDIRIM,2.22.29,"8,20",%5(7),4,,,68,KV,4,Araplar,2000,Sentetik,,,Normal,,,
28/12/2024,8,"ALEVKIRAN(3) KG
 DB
 SK
 GKR",6y d a,ATEŞTOPU- ACARHATUN / DRUID (PL),"59,5",G.ÖZÇELİK,TÜRKAN TURAN,C.TURAN,2.22.88,"14,30",%2(8),8,,5 boy,72,KV,4,Araplar,2000,Sentetik,,,Normal,,,
28/12/2024,9,"MY CENGO(9) KG
 K
 DB",4y a a,ULUER- DOST ELİ / GÜNDENİZ,"57,5",E.AKTUĞ,GÖRKEM GEDİKOĞLU,S.ÇİFTÇİ,2.27.41,"40,65",%0(9),3,,,62,KV,4,Araplar,2000,Sentetik,,,Normal,,,
23/11/2024,1,"İWOJİMA(6) KG
 K
 DB",4y k k,ÖZGÜNHAN- OKİNAWA / HABERBATUR,"57,5",VEDAT ABİŞ,HAKAN YÜCETÜRK,S.BEKTAŞ,2.19.58,"2,65","%30(1)
%29(1)",2,Yarım Boy,,67,,4,Araplar,2000,Sentetik,,,Normal,,,
23/11/2024,2,"KURŞUNİLİ(5) KG
 K",5y k k,SİLAH- MOĞOLGÜLÜ / SÜLO,"59,5",A.SÖZEN,DENİZ KURTEL,H.YÜZBAŞI,2.19.68,"3,55","%22(2)
%21(2)",5,Yarım Boy,,92,,4,Araplar,2000,Sentetik,,,Normal,,,
23/11/2024,3,SİNSİNATEŞİ(7) K,4y a k,KAIZBERT (RU)- BAĞGÜZELİ / KAYHANBEY,"57,5",T.YILDIZ,MERT ÇELİK,E.KOCA,2.19.77,"6,05","%12(4)
%13(4)",4,2 Boy,,71,,4,Araplar,2000,Sentetik,,,Normal,,,
