Tarih,Sıra,At İsmi,Yaş,Orijin,Sıklet,Jokey,Sahip,Antrenör,Derece,Ganyan,AGF,Start No,Fark,Geç Çıkış,HP,Yarış Tipi,Yaş Grubu,At Cinsi,Mesafe,Pist Tipi,Çim Durumu,Çim Değeri,Kum Durumu,Sıcaklık,Hava Durumu,Nem
02/04/2025,1,"SAADGIRL(7) KG
 DB
 SK",5y d k,SAADIN GÜCÜ- ALTINARMAĞAN / ARATBEY,"56,5+0.50",A.ÇELİK,MURAT BAYAR,V.YÜKSEL,2.27.13,"6,10",%11(5),4,"2,5 Boy",,74,,4,Araplar,2100,Sentetik,,,Normal,,,
02/04/2025,2,"KILIÇASLI(5) KG
 DB
 SK",6y a k,TURBO- GÜLERANA / DAYIBEY,"56,5+0.50",A.KURŞUN,ÇİSİL SİMGE DENİZ,M.SOYKUVVET,2.27.52,"14,60",%5(6),6,Baş,,76,,4,Araplar,2100,Sentetik,,,Normal,,,
02/04/2025,3,"İWOJİMA(4) KG
 K
 DB",5y k k,ÖZGÜNHAN- OKİNAWA / HABERBATUR,"56,5",VEDAT ABİŞ,HAKAN YÜCETÜRK,S.BEKTAŞ,2.27.55,"5,45",%15(4),2,"1,5 Boy",,76,,4,Araplar,2100,Sentetik,,,Normal,,,
02/04/2025,4,"GELİBOLU RÜZGARI(3) DB
 SK",7y k k,GELİBOLU- RIHAN / KOŞANEFE,"56,5+0.50",M.AKYAVUZ,DORUK SÖKMEN,G.ŞİMŞEK,2.27.78,"2,55",%29(1),5,1 Boy,,90,,4,Araplar,2100,Sentetik,,,Normal,,,
02/04/2025,5,"KURŞUNİLİ(6) KG
 K",6y k k,SİLAH- MOĞOLGÜLÜ / SÜLO,"56,5",A.SÖZEN,DENİZ KURTEL,H.YÜZBAŞI,2.27.95,"4,15",%18(3),3,,,92,,4,Araplar,2100,Sentetik,,,Normal,,,
02/04/2025,6,"BÜYÜK YILDIZ(1) KG
 SK",6y a k,UÇANOĞLU- DİLŞEKER / ÖZGÜNHAN,"56,5",A.YILDIZ,GÖKHAN YILDIZ,MİR.İPEK,2.28.43,"3,70",%22(2),7,,,91,,4,Araplar,2100,Sentetik,,,Normal,,,
02/04/2025,7,"ÇAĞLAYANŞELALE(2) KG
 K
 DB",8y a k,KAIZBERT (RU)- HAÇÇE / HABERBATUR,54+0.90,M.ALİ AKGÖBEK AP,İSRAFİL FELHAN,BET.YILDIRIM,2.28.65,"39,70",%1(7),1,,,31,,4,Araplar,2100,Sentetik,,,Normal,,,
15/03/2025,,"İLLEDE DORU(4) KG
 K",5y d k,SAADIN GÜCÜ- AYDANARI / ALTAHA,56,N.AVCİ,MEHMET ÇAVUŞ,A.KURT,1.33.11,"12,85",%6(4),1,"3,5 Boy",,76,,4,Araplar,1400,Sentetik,,,Normal,,,
15/03/2025,2,"LİMA(1) KG
 DB
 SK",7y k k,GELİBOLU- ELMASBİKE / DEVİRHAN,59,SALİH ÇELİK AP,ERDOĞAN ŞENOCAKLI,T.ŞİT,1.33.63,"1,40",%55(1),4,4 Boy,,95,,4,Araplar,1400,Sentetik,,,Normal,,,
15/03/2025,3,"ULUARAT(8) KG
 K",6y a k,ULUER- KOŞARAT / EMİROĞLU,53+0.90,U.LEVENT AP,M.ERDİNÇ DÜZARAT,A.KURT,1.34.42,"20,20",%4(7),8,Yarım Boy,,84,,4,Araplar,1400,Sentetik,,,Normal,,,
15/03/2025,4,"MAVİŞİN KIZI(7) KG
 K",5y k k,TURBO- MAVİŞ HANIM / BERKSOY,56+0.50,Ö.YILDIRIM,YASİN YILDIZ,BAY.AKTAŞ,1.34.55,"10,90",%5(6),3,2 Boy,,59,,4,Araplar,1400,Sentetik,,,Normal,,,
15/03/2025,5,"KURŞUNİLİ(6) KG
 K",6y k k,SİLAH- MOĞOLGÜLÜ / SÜLO,56+0.10,A.SÖZEN,DENİZ KURTEL,H.YÜZBAŞI,1.34.88,"4,10",%18(2),5,,,92,,4,Araplar,1400,Sentetik,,,Normal,,,
15/03/2025,6,"TOPRAK TUTKUSU(2) KG
 SK",6y k k,TURBO- ÖZGÜNÇİÇEK / ÖZGÜN,60,E.AKTUĞ,TOLGA ÇELİK,S.ALTINDAĞ,1.34.96,"13,95",%6(3),2,,,77,,4,Araplar,1400,Sentetik,,,Normal,,,
15/03/2025,7,"KILIÇASLI(5) KG
 DB
 SK",6y a k,TURBO- GÜLERANA / DAYIBEY,56,A.YILDIZ,ÇİSİL SİMGE DENİZ,M.SOYKUVVET,1.36.52,"12,45",%6(5),7,,10 boy,76,,4,Araplar,1400,Sentetik,,,Normal,,,
15/03/2025,8,"ŞEHNAZ LONGA(3) KG
 K
 DB",5y k k,TURBO- SÜRMENEBEYİ / YAŞARCIK,54,R.KETME AP,MURAT AKÇA,K.KAYALIK,1.36.86,"53,60",%1(8),6,,,62,,4,Araplar,1400,Sentetik,,,Normal,,,
22/02/2025,1,O LA LA(12) K,6y a k,KARAÜZÜM- BİLGEAT / YALAZ,58,A.KAÇMAZ,Z.AHSEN KURUM,ŞÜK. ÇELİK,2.23.56,"22,05",%1(12),11,Baş,15 boy,45,,4,Araplar,2000,Sentetik,,,Normal,,,
