Tarih,Sıra,At İsmi,Yaş,Orijin,Sıklet,Jokey,Sahip,Antrenör,Derece,Ganyan,AGF,Start No,Fark,Geç Çıkış,HP,Yarış Tipi,Yaş Grubu,At Cinsi,Mesafe,Pist Tipi,Çim Durumu,Çim Değeri,Kum Durumu,Sıcaklık,Hava Durumu,Nem
16/03/2025,1,"AKMERİÇ(7) KG
 SK",4y a a,FİRİKYA- POMALİN / TURBO,55,MÜS.ÇELİK,MEHMET YILDIZ,A.ÇİFTÇİ,2.19.57,"6,15",-,4,"3,5 Boy",,53,,4,Araplar,1900,Kum,,,Normal,,,
16/03/2025,2,CAZGIR YAŞAR(4) SK,4y k a,TAMERİNOĞLU- ÖZBEYZA / TURBO,58,A.ÇELİK,BİRKAN BORA AKARSU,EMİN KARATAŞ,2.20.13,"2,55",-,8,"4,5 Boy",1 Boy,48,,4,Araplar,1900,Kum,,,Normal,,,
16/03/2025,3,"ASIL OĞUL(8) KG
 SK",4y k a,GÜRGÖKÇE- ASLIDİLAN / CAŞ,55+0.30,N.DEMİR,BEŞİR KAYA,A.DİNÇ,2.20.94,"24,85",-,6,1 Boy,,39,,4,Araplar,1900,Kum,,,Normal,,,
16/03/2025,4,"SARPER(1) KG
 SK",4y k a,YILMABAŞAR- AYGÖNÜL / ÖZGÜNHAN,57+0.30,SALİH ÇELİK AP,ASIM FİKRİ ADVAN,R.TAŞDELEN,2.21.11,"2,70",-,9,"1,5 Boy",,59,,4,Araplar,1900,Kum,,,Normal,,,
16/03/2025,5,"EKŞAŞİ(9) KG
 DB
 SK",4y k a,FİRİKYA- GÜMÜŞKANAT / TURBO,55+2.00,K.DEMİREL AP,AYTUĞ ATALAY,C.DEMİR,2.21.36,"14,05",-,1,,,42,,4,Araplar,1900,Kum,,,Normal,,,
16/03/2025,6,"AZERBAYCANLI(2) K
 DB",4y k a,EMBİR HAN- SÜHEYLA / DON JUAN,58,H.ÇİZİK,TUGEN AZİZ CEYLAN,H.HATUNOĞLU,2.23.25,"5,00",-,5,,,42,,4,Araplar,1900,Kum,,,Normal,,,
16/03/2025,7,"TURBO EFSANESİ(6) KG
 DB
 SK",4y k a,KAFKASLIEFSANESİ- ALTIN TURBO / TURBO,55+0.10,M.N.SUNKAR AP,MEHMET ÇELİK,İ.AKKILIÇ,2.27.07,"35,55",-,7,,,37,,4,Araplar,1900,Kum,,,Normal,,,
16/03/2025,8,"SERHANOĞLU(5) KG
 K
 DB",4y a a,SERHANTAY- İSTANBUL YILDIZI / YALAZ,58,B.KILINÇ,GÜNAYDIN SAÇAN,Y.TUNCAY,2.27.44,"22,10",-,3,,,36,,4,Araplar,1900,Kum,,,Normal,,,
16/03/2025,9,"BANU ÇİÇEĞİM(3) KG
 DB",4y a k,SERHANTAY- FÜLANE / SAĞANAK,58,M.AKYAVUZ,F.SEDAT DAĞYUDAN,M.KORKMAZ,2.28.08,"28,15",-,2,,,41,,4,Araplar,1900,Kum,,,Normal,,,
16/03/2025,10,"BABADİZDAR(10) KG
 K
 DB",4y a a,DİZDAR BEY- ZELYURT GÜLÜ / RİKARDO,55+0.20,M.KIYAK AP,KUTBETTİN SAÇAN,A.DİNÇ,2.29.14,"22,10",-,10,,,27,,4,Araplar,1900,Kum,,,Normal,,,
