Tarih,Sıra,At İsmi,Yaş,Orijin,Sıklet,Jokey,Sahip,Antrenör,Derece,Ganyan,AGF,Start No,Fark,Geç Çıkış,HP,Yarış Tipi,Yaş Grubu,At Cinsi,Mesafe,Pist Tipi,Çim Durumu,Çim Değeri,Kum Durumu,Sıcaklık,Hava Durumu,Nem
05/04/2025,1,"KENT RÜZGARI(1) KG
 SK",4y a a,HABERKAN- ŞUBATINKIZI / ŞENTAY,57+0.10,SALİH ÇELİK AP,MUSTAFA ŞEFKAT,M.ŞEFKAT,2.25.20,"2,75",%27(1),3,"1,5 Boy",,76,,4,Araplar,2000,Kum,,,Normal,,,
05/04/2025,2,"AKMERİÇ(4) KG
 SK",4y a a,FİRİKYA- POMALİN / TURBO,56,MÜS.ÇELİK,MEHMET YILDIZ,A.ÇİFTÇİ,2.25.47,"7,35",%12(4),5,"3,5 Boy",,59,,4,Araplar,2000,Kum,,,Normal,,,
05/04/2025,3,"BAŞARAN TAY(5) KG
 SK",4y k a,TAMERİNOĞLU- BADEKIZIM / DEMİRKAZIK,54+1.40,M.S.ÇELİK,HAKAN GÜRSES,U.DAŞCI,2.26.08,"18,10",%6(6),2,Boyun,,41,,4,Araplar,2000,Kum,,,Normal,,,
05/04/2025,4,"FENNAN(2) KG
 SK",4y a a,DİLİRAN- KİRAZKIZI / ŞÖVALYE,58,E.ÇANKAYA,N.CEHDİ ADVAN,R.TAŞDELEN,2.26.15,"2,15",%25(2),4,"2,5 Boy",,66,,4,Araplar,2000,Kum,,,Normal,,,
05/04/2025,5,"ŞAFAK BEY(3) KG
 SK",4y k a,TAMERİNOĞLU- BALCI / ARASLI,58,M.A.SOLMAZ,EROL YÜCEL,A.GÜVEN,2.26.59,"10,85",%10(5),6,,,57,,4,Araplar,2000,Kum,,,Normal,,,
05/04/2025,6,FIRTINA BEY(6) DB,4y k a,EMBİR HAN- HALENAY / AYABAKAN,56+0.70,A.KURŞUN,ŞEREF AĞRI,Ş.AYDEMİR,2.27.48,"4,25",%20(3),1,,,53,,4,Araplar,2000,Kum,,,Normal,,,
26/03/2025,1,"KENT RÜZGARI(3) KG
 SK",4y a a,HABERKAN- ŞUBATINKIZI / ŞENTAY,58,F.YARDIMCI,MUSTAFA ŞEFKAT,M.ŞEFKAT,1.37.60,"2,15",-,6,12 Boy,,71,,4,Araplar,1400,Kum,,,Normal,,,
26/03/2025,2,HAMDİ AĞA(6),4y a a,ORÇUN- BENLİDİLBER / ÖZGÜNHAN,56+0.80,Y.CENGİZ,MEHMET S. MELİK,V.ÇİZİK,1.40.32,"54,30",-,2,"2,5 Boy",,32,,4,Araplar,1400,Kum,,,Normal,,,
26/03/2025,3,"DERBEDER ALİ(5) KG
 DB
 SK",4y a a,SERHANTAY- CANYELDA / YELHAN,55,N.ALTIN,İSMAİL GÜRLER,M.SUSEN,1.40.82,"14,70",-,4,6 Boy,,46,,4,Araplar,1400,Kum,,,Normal,,,
26/03/2025,4,"KAÇAR ÜLFET(4) DB
 SK",4y k k,SON MARTI- GÜLHAN ABLA / GOBAKBEY,56,M.E.DOĞAN,ÖMER YARDIMCI,EY.YARDIMCI,1.42.01,"10,10",-,7,12 Boy,,66,,4,Araplar,1400,Kum,,,Normal,,,
26/03/2025,5,"SANPMAN(1) KG
 SK",4y a a,ARTOS- TEK DİŞİ / GOBAKBEY,61,İ.AKYAVUZ,HALİL YILDIZ,E.ALTIN,1.44.78,"1,80",-,1,,,71,,4,Araplar,1400,Kum,,,Normal,,,
26/03/2025,6,GÖZEGER(7) DB,4y a k,KAFKASLIEFSANESİ- FİLFİL / KIRIMHAN,52+2.00,M.ALİ AKGÖBEK AP,SONGÜL NARİN,OSM.DEMİR,1.48.26,"68,40",-,5,,,40,,4,Araplar,1400,Kum,,,Normal,,,
26/03/2025,7,"EKO HAT(2) KG
 SK",4y k a,KARAKEMAL- HEYCAN BİR / SERDARHAN,57,B.SARIDAL AP,MUSTAFA ARSLAN,RE.ARSLAN,1.55.89,"7,65",-,3,,,67,,4,Araplar,1400,Kum,,,Normal,,,
12/03/2025,1,"SANPMAN(1) KG
 SK",4y a a,ARTOS- TEK DİŞİ / GOBAKBEY,58,İ.AKYAVUZ,HALİL YILDIZ,E.ALTIN,2.00.25,"3,40",%23(2),2,"3,5 Boy",,64,KV,4,Araplar,1700,Kum,,,Normal,,,
12/03/2025,2,"KENT RÜZGARI(2) KG
 SK",4y a a,HABERKAN- ŞUBATINKIZI / ŞENTAY,56,F.YARDIMCI,MUSTAFA ŞEFKAT,M.ŞEFKAT,2.01.05,"1,60",%56(1),6,19 Boy,,71,KV,4,Araplar,1700,Kum,,,Normal,,,
12/03/2025,3,"KAÇAR ÜLFET(8) DB
 SK",4y k k,SON MARTI- GÜLHAN ABLA / GOBAKBEY,54+2.00,M.E.DOĞAN,ÖMER YARDIMCI,EY.YARDIMCI,2.05.22,"7,70",%7(3),4,5 Boy,,61,KV,4,Araplar,1700,Kum,,,Normal,,,
12/03/2025,4,"ADİLMAN(4) KG
 SK",4y a a,ARTOS- BECENE GÜLÜ / DEHA,55+2.00,Y.CENGİZ,SAVAŞ ERCÜMENT BECENE,S.BECENE,2.06.40,"38,20",%1(7),3,8 Boy,,49,KV,4,Araplar,1700,Kum,,,Normal,,,
12/03/2025,5,"BİR NİSAN(5) DB
 SKG
 SK",4y k a,ŞİMŞEĞİNOĞLU- SELLUMA / EMİROĞLU,55+1.70,M.IŞIK AP,MEHMET ŞENBAHAR,MUR.DOĞAN,2.08.17,"18,95",%3(6),5,,,47,KV,4,Araplar,1700,Kum,,,Normal,,,
12/03/2025,6,"RÜZGAR DELEN(6) KG
 DB
 SK",4y a a,SERHANTAY- KINALIGELİN / PİR KARACA,55+0.50,M.ŞAKİR AP,YASİN TEKTAŞ,M.GÜNDÜZ,2.09.75,"14,35",%3(5),8,,,63,KV,4,Araplar,1700,Kum,,,Normal,,,
12/03/2025,7,"KRAL OSMAN(7) KG
 DB
 SK",4y k a,ARASBEYİ- ELVİRA / SAM ABRASİV,54+1.20,N.ALTIN,LÜTFİ ÇELİK,G.BALTA,2.19.27,"27,40",%1(8),7,,,28,KV,4,Araplar,1700,Kum,,,Normal,,,
12/03/2025,8,"MAHMELEK(3) KG
 K",4y a k,ATEŞTOPU- DOĞUNUN YILDIZI / ÖZGÜNHAN,56+1.20,M.DOĞAN,MEHMET KILIÇ,MUR.DOĞAN,2.22.35,"10,60",%6(4),9,,,64,KV,4,Araplar,1700,Kum,,,Normal,,,
12/03/2025,9,"LARİSA(9) K
 DB",4y a k,BİÇER- SEVDAPERİSİ / HABERBATUR,53+1.00,A.H.BAYAR AP,BİLAL EMİROĞLU,Y.BAYSAL,2.23.37,"48,25",%1(9),1,,,32,KV,4,Araplar,1700,Kum,,,Normal,,,
17/02/2025,1,"KENT RÜZGARI(4) KG
 SK",4y a a,HABERKAN- ŞUBATINKIZI / ŞENTAY,56,F.YARDIMCI,MUSTAFA ŞEFKAT,M.ŞEFKAT,2.20.70,"2,15",%30(1),6,15 Boy,,63,,4,Araplar,1900,Kum,,,Normal,,,
17/02/2025,2,"ZAFERE GEL(10) KG
 SK",4y a a,SAKARBAŞI- GEÇGELANNA / ÖZHABER,56+1.80,M.A.AKTÜRK,MUZAFFER ÇİZİK,V.ÇİZİK,2.24.05,"7,35",%7(6),4,3 Boy,,61,,4,Araplar,1900,Kum,,,Normal,,,
17/02/2025,3,"ŞAHTAYIM(2) KG
 DB
 SK",4y a a,ESKİŞEHİRLİ- MUCAN / CAŞ,58,İ.AKYAVUZ,AZİZ BECENE,S.BECENE,2.24.55,"7,70",%14(3),9,9 Boy,,51,,4,Araplar,1900,Kum,,,Normal,,,
17/02/2025,4,"RÜZGAR DELEN(1) KG
 DB
 SK",4y a a,SERHANTAY- KINALIGELİN / PİR KARACA,58,A.AKDEMİR,YASİN TEKTAŞ,M.GÜNDÜZ,2.26.63,"9,05",%11(4),2,"1,5 Boy",,63,,4,Araplar,1900,Kum,,,Normal,,,
17/02/2025,5,"BENDENİZ(5) KG
 SK",4y a a,ÖZGÜNHAN- ARCİVAN / ATAK,55+0.90,S.KAPLAN,MEHMET KAHRAMAN,MUH.ARSLAN,2.26.92,"1,65",%24(2),8,,7 Boy,60,,4,Araplar,1900,Kum,,,Normal,,,
